name,team,battingStyle,bowlingStyle,playingRole,Status
George Garton,RCB,Left hand Bat,Left arm Fast,Bowling Allrounder,Not Playing
Glenn Maxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,Playing
Glenn Phillips,Sunrisers,Right hand Bat,Right arm Offbreak,Allrounder,Playing
Gurnoor Brar,Punjab Kings,Left hand Bat,Right arm Fast,Bowler,Not Playing
Harbhajan Singh,KKR,Right hand Bat,Right arm Offbreak,Bowler,Not Playing
Hardik Pandya,Mumbai,Right hand Bat,Right arm Medium fast,Allrounder,Playing
Harpreet Brar,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Bowler,Playing
Harpreet Singh,Punjab Kings,Left hand Bat,Right arm Medium,Batter,Not Playing
Harry Brook,Capitals,Right hand Bat,Right arm Medium,Batter,Playing
Harshal Patel,RCB,Right hand Bat,Right arm Medium,Bowler,Playing
Harshit Rana,KKR,Right hand Bat,Right arm Fast,Bowler,Playing
Heinrich Klaasen,Sunrisers,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Playing
Himanshu Sharma,RCB,Right hand Bat,Legbreak,Bowler,Playing
Hrithik Shokeen,Mumbai,Right hand Bat,Right arm Offbreak,Bowler,Not Playing
Imran Tahir,Super Kings,Right hand Bat,Legbreak Googly,Bowler,Not Playing
Ishan Kishan,Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter,Playing
Ishan Porel,Punjab Kings,Right hand Bat,Right arm Medium,Bowler,Not Playing
Ishant Sharma,Capitals,Right hand Bat,Right arm Fast medium,Bowler,Playing
Jagadeesha Suchith,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler,Not Playing
Jalaj Saxena,Punjab Kings,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Allrounder,Not Playing
James Neesham,Mumbai,Left hand Bat,Right arm Medium fast,Batting Allrounder,Not Playing
Jason Behrendorff,Mumbai,Right hand Bat,Left arm Fast medium,Bowler,Playing
Jason Holder,Sunrisers,Right hand Bat,Right arm Medium fast,Bowling Allrounder,Not Playing
Jason Roy,KKR,Right hand Bat,Not Available,Opening Batter,Not Playing
Jasprit Bumrah,Mumbai,Right hand Bat,Right arm Fast,Bowler,Playing
Jayant Yadav,Titans,Right hand Bat,Right arm Offbreak,Bowler,Playing
Jaydev Unadkat,Sunrisers,Right hand Bat,Left arm Medium,Bowler,Playing
Jhye Richardson,Capitals,Right hand Bat,Right arm Fast,Bowler,Playing
Jitesh Sharma,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
Joe Root,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,Not Playing
Jofra Archer,Mumbai,Right hand Bat,Right arm Fast,Bowler,Not Playing
Jonny Bairstow,Sunrisers,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Playing
Jos Buttler,Royals,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
Josh Hazlewood,Super Kings,Left hand Bat,Right arm Fast medium,Bowler,Not Playing
Joshua Little,Titans,Right hand Bat,Left arm Fast medium,Bowler,Playing
K LRahul,Super Giants,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
K MAsif,Super Kings,Right hand Bat,Right arm Medium,Bowler,Not Playing
Kagiso Rabada,Capitals,Left hand Bat,Right arm Fast,Bowler,Playing
Kamlesh Nagarkoti,KKR,Right hand Bat,Right arm Fast,Bowler,Not Playing
Kane Richardson,RCB,Right hand Bat,Right arm Fast medium,Bowler,Not Playing
Kane Williamson,Titans,Right hand Bat,Right arm Offbreak,Top order Batter,Playing
Karan Sharma,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder,Playing
Karn Sharma,RCB,Left hand Bat,Legbreak Googly,Bowler,Not Playing
Kartik Tyagi,Titans,Right hand Bat,Right arm Fast,Bowler,Playing
Karun Nair,Royals,Right hand Bat,Right arm Offbreak,Top order Batter,Not Playing
Kedar Jadhav,Sunrisers,Right hand Bat,Right arm Offbreak,Batting Allrounder,Not Playing
Khaleel Ahmed,Capitals,Right hand Bat,Left arm Fast medium,Bowler,Playing
Kieron Pollard,Mumbai,Right hand Bat,Right arm Medium,Batting Allrounder,Not Playing
Krishnappa Gowtham,Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder,Playing
Krunal Pandya,Super Giants,Left hand Bat,Slow Left arm Orthodox,Allrounder,Playing
Kuldeep Sen,Royals,Right hand Bat,Right arm Fast,Bowler,Playing
Kuldeep Yadav,Capitals,Left hand Bat,Left arm Wrist spin,Bowler,Playing
Kuldip Yadav,Royals,Left hand Bat,Left arm Fast medium,Bowler,Not Playing
Kulwant Khejroliya,KKR,Left hand Bat,Left arm Medium fast,Bowler,Not Playing
Kumar Kartikeya,Mumbai,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler,Playing
Kyle Jamieson,RCB,Right hand Bat,Right arm Fast medium,Bowler,Not Playing
Kyle Mayers,Super Giants,Left hand Bat,Right arm Medium,Batting Allrounder,Playing
Lalit Yadav,Capitals,Right hand Bat,Right arm Offbreak,Allrounder,Playing
Liam Livingstone,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,Playing
Litton Das,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Not Playing
Lockie Ferguson,RCB,Right hand Bat,Right arm Fast,Bowler,Playing
